address,square_feet,land_area,year_built,property_class,use_type,market_value
4626 S TRIPP CHICAGO,15848.0,32365.0,1961,5-93,Industrial-Storage Warehouses,906000.0
3900 S CICERO CHICAGO,156850.0,106968.0,1961,5-93,Industrial-Distribution Warehouse  Single Story,5475000.0
3443 W 48TH CHICAGO,8310.0,9021.0,1961,5-93,Industrial-Storage Warehouses,454000.0
5947 S OAK PARK CHICAGO,2000.0,9088.0,1961,5-93,Industrial-Storage Warehouses,176000.0
3527 W COLUMBUS CHICAGO,5000.0,5800.0,1961,5-93,Industrial-Storage Warehouses,208000.0
6453 S BELL CHICAGO,9900.0,30855.0,1961,5-93,Industrial-Storage Warehouses,377000.0
7758 S CLAREMONT CHICAGO,4000.0,4919.0,1961,5-93,Industrial-Storage Warehouses,166000.0
1250 W 42ND CHICAGO,8683.0,22151.0,1958,5-93,Industrial-Storage Warehouses,588000.0
1901 W 43RD CHICAGO,10800.0,51709.0,1958,"5-93, 5-80, 5-80",Industrial-Storage Warehouses,1056000.0
1532 W 79TH CHICAGO,1029.0,5616.0,1958,5-93,Industrial-Utility NonEnergy Production,45000.0
7805 S CLAREMONT CHICAGO,4200.0,4410.0,1958,5-93,Industrial-Light Manufacturing,175000.0
9046 S GREEN CHICAGO,5000.0,156380.0,1958,5-93,Industrial-Heavy (Process) Manufacturing,1379000.0
600 W 51ST CHICAGO,286637.0,701348.0,1957,"5-93, 5-93, 5-93",Industrial-Heavy (Process) Manufacturing,7943000.0
4539 S KNOX CHICAGO,14184.0,29068.0,1957,5-93,Industrial-Light Manufacturing,811000.0
4540 S KOLMAR CHICAGO,94717.0,180220.0,1958,"5-93, 5-80, 5-80",Industrial-Storage Warehouses,4923000.0
8918 S GREEN CHICAGO,9600.0,13050.0,1957,"4-93, 4-93, 4-93",Industrial-Storage Warehouses,366000.0
921 W 49TH CHICAGO,18027.0,34384.0,1957,"5-80, 5-80, 5-80, 5-80, 5-80, 5-93, 5-93, 5-93",Industrial-Storage Warehouses,687000.0
4400 S KILDARE CHICAGO,224250.0,417697.0,1957,5-93,Industrial-Heavy (Process) Manufacturing,10490000
7001 W 60TH CHICAGO,123942.0,269421.0,1955,"5-80, 5-93",Industrial-Light Manufacturing,5798000.0
2847 W 47TH CHICAGO,39915.0,65183.0,1957,"6-70, 6-63, 5-93",Industrial-Light Manufacturing,2613000.0
12218 S HALSTED CHICAGO,1875.0,8100.0,1957,"5-17, 5-90, 5-90",Industrial-Light Manufacturing,113000.0
4235 W DISTRICT CHICAGO,48383.0,77224.0,1957,"6-63, 6-70, 6-70",Industrial-Storage Warehouses,3299000.0
